Company, CIK, Filing form type, Year, Quarter, Filing date, Filelink
AMERICAN SOFTWARE  -CL A,713425,10Q,2020,Q4,2020-01-01,713425_10Q_2021_0001628280-21-024496.htm
SLACK TECHNOLOGIES INC,1764925,8K,2021,Q1,2021-02-01,1764925_8K_2021_0001764925-21-000036.htm
EVERBRIDGE INC,1437352,8K,2021,Q1,2021-04-01,1437352_8K_2021_0001193125-21-107633.htm
OKTA INC,1660134,8K,2021,Q2,2021-05-01,1660134_8K_2021_0001193125-21-173616.htm
SALESFORCE.COM INC,1108524,8K,2021,Q1,2021-03-01,1108524_8K_2021_0001108524-21-000009.htm
PEGASYSTEMS INC,1013857,8K,2021,Q2,2021-06-01,1013857_8K_2021_0001013857-21-000152.htm
DROPBOX INC,1467623,8K,2021,Q1,2021-02-01,1467623_8K_2021_0001467623-21-000007.htm
COUPA SOFTWARE INC,1385867,10K,2019,Q4,2019-01-01,1385867_10K_2021_0001385867-21-000011.htm
WORKDAY INC,1327811,10Q,2020,Q4,2020-01-01,1327811_10Q_2021_0001327811-21-000054.htm
WORKIVA INC,1445305,8K,2021,Q3,2021-08-01,1445305_8K_2021_0001445305-21-000107.htm
GTY TECHNOLOGY HOLDINGS,1682325,8K,2021,Q2,2021-07-01,1682325_8K_2021_0001104659-21-089619.htm
EVOLVING SYSTEMS INC,1052054,8K,2021,Q4,2021-11-01,1052054_8K_2021_0001104659-21-140358.htm
NUANCE COMMUNICATIONS INC,1002517,8K,2021,Q4,2021-11-01,1002517_8K_2021_0001002517-21-000051.htm
SECUREWORKS CORP,1468666,8K,2021,Q4,2021-12-01,1468666_8K_2021_0001468666-21-000042.htm
SYNCHRONOSS TECHNOLOGIES,1131554,10Q,2020,Q4,2020-01-01,1131554_10Q_2021_0001131554-21-000057.htm
DOCUSIGN INC,1261333,8K,2020,Q4,2020-01-01,1261333_8K_2021_0001628280-21-000417.htm
CROWDSTRIKE HOLDINGS INC,1535527,8K,2021,Q4,2021-12-01,1535527_8K_2021_0001535527-21-000026.htm
MICROSOFT CORP,789019,10Q,2020,Q4,2020-01-01,789019_10Q_2021_0001564590-21-051992.htm
AVAYA HLDGS CORP,1418100,8K,2021,Q1,2021-02-01,1418100_8K_2021_0001418100-21-000023.htm
MITEK SYSTEMS INC,807863,10Q,2019,Q4,2019-01-01,807863_10Q_2020_0000807863-21-000016.htm
TWILIO INC,1447669,10Q,2020,Q4,2020-01-01,1447669_10Q_2021_0001447669-21-000200.htm
PALO ALTO NETWORKS INC,1327567,8K,2021,Q3,2021-10-01,1327567_8K_2021_0001193125-21-296438.htm
AMERICAN SOFTWARE  -CL A,713425,8K,2021,Q3,2021-08-01,713425_8K_2021_0001157523-21-001092.htm
DIGITAL TURBINE INC,317788,8K,2021,Q1,2021-03-01,317788_8K_2021_0001104659-21-031148.htm
PAGERDUTY INC,1568100,8K,2021,Q1,2021-03-01,1568100_8K_2021_0001568100-21-000005.htm
SERVICENOW INC,1373715,8K,2021,Q1,2021-04-01,1373715_8K_2021_0001373715-21-000100.htm
QUALYS INC,1107843,8K,2021,Q3,2021-08-01,1107843_8K_2021_0001193125-21-240478.htm
PEGASYSTEMS INC,1013857,8K,2021,Q4,2021-12-01,1013857_8K_2021_0001013857-21-000281.htm
CLOUDERA INC,1535379,8K,2021,Q3,2021-08-01,1535379_8K_2021_0001628280-21-017747.htm
CDK GLOBAL INC,1609702,10Q,2020,Q4,2020-01-01,1609702_10Q_2021_0001609702-21-000038.htm
SOLARWINDS CORP,1739942,8K,2021,Q1,2021-02-01,1739942_8K_2021_0001739942-21-000037.htm
CERIDIAN HCM HOLDING,1725057,8K,2021,Q1,2021-02-01,1725057_8K_2021_0001564590-21-009447.htm
ISSUER DIRECT CORP,843006,10Q,2020,Q4,2020-01-01,843006_10Q_2021_0001654954-21-005233.htm
MITEK SYSTEMS INC,807863,8K,2021,Q2,2021-07-01,807863_8K_2021_0000807863-21-000081.htm
BOTTOMLINE TECHNOLOGIES INC,1073349,8K,2021,Q3,2021-09-01,1073349_8K_2021_0001073349-21-000118.htm
SPS COMMERCE INC,1092699,10K,2019,Q4,2019-01-01,1092699_10K_2020_0001564590-21-007614.htm
GIVEMEPOWER CORP,1064722,10Q,2020,Q4,2020-01-01,1064722_10Q_2021_0001493152-21-028791.htm
J2 GLOBAL INC,1084048,8K,2021,Q1,2021-04-01,1084048_8K_2021_0001084048-21-000022.htm
ANAPLAN INC,1540755,8K,2021,Q2,2021-05-01,1540755_8K_2021_0001193125-21-174326.htm
SYNOPSYS INC,883241,8K,2021,Q1,2021-04-01,883241_8K_2021_0001193125-21-113218.htm
ENVESTNET INC,1337619,8K,2021,Q1,2021-02-01,1337619_8K_2021_0001628280-21-003291.htm
PAYCHEX INC,723531,10Q,2020,Q4,2020-01-01,723531_10Q_2021_0000723531-21-000016.htm
ELASTIC NV,1707753,10Q,2020,Q4,2020-01-01,1707753_10Q_2021_0001707753-21-000080.htm
PAYLOCITY HOLDING CORP,1591698,8K,2021,Q1,2021-02-01,1591698_8K_2021_0001104659-21-012233.htm
QUALYS INC,1107843,8K,2021,Q1,2021-04-01,1107843_8K_2021_0001193125-21-138568.htm
CLOUDERA INC,1535379,10K,2019,Q4,2019-01-01,1535379_10K_2021_0001628280-21-005632.htm
PARK CITY GROUP INC,50471,10Q,2019,Q4,2019-01-01,50471_10Q_2020_0001654954-21-001744.htm
SHARPSPRING INC,1506439,10K,2020,Q4,2020-01-01,1506439_10K_2020_0001654954-21-003521.htm
VERINT SYSTEMS INC,1166388,8K,2021,Q3,2021-08-01,1166388_8K_2021_0001166388-21-000105.htm
SPLUNK INC,1353283,8K,2021,Q2,2021-06-01,1353283_8K_2021_0001353283-21-000014.htm
VERB TECHNOLOGY CO INC,1566610,8K,2021,Q3,2021-08-01,1566610_8K_2021_0001493152-21-020853.htm
TENABLE HOLDINGS INC,1660280,8K,2021,Q3,2021-10-01,1660280_8K_2021_0001660280-21-000156.htm
XPERI HOLDING CORP,1803696,8K,2021,Q2,2021-05-01,1803696_8K_2021_0001564590-21-028744.htm
ROCKETFUEL BLOCKCHAIN INC,823546,8K,2021,Q3,2021-10-01,823546_8K_2021_0001493152-21-025450.htm
SNOWFLAKE INC,1640147,8K,2021,Q3,2021-08-01,1640147_8K_2021_0001640147-21-000197.htm
FASTLY INC,1517413,8K,2021,Q4,2021-11-01,1517413_8K_2021_0001517413-21-000183.htm
TWILIO INC,1447669,8K,2021,Q1,2021-03-01,1447669_8K_2021_0001193125-21-075036.htm
SS&C TECHNOLOGIES HLDGS INC,1402436,8K,2021,Q1,2021-02-01,1402436_8K_2021_0001564590-21-005265.htm
MIX TELEMATICS LTD,1576914,8K,2021,Q2,2021-06-01,1576914_8K_2021_0001628280-21-012214.htm
MARIN SOFTWARE INC,1389002,10Q,2020,Q4,2020-01-01,1389002_10Q_2021_0001564590-21-039804.htm
PALANTIR TECHNOLOG INC,1321655,10Q,2020,Q4,2020-01-01,1321655_10Q_2021_0000950123-21-010430.htm
INTELLIGENT SYSTEM CORP,320340,10Q,2020,Q4,2020-01-01,320340_10Q_2021_0001437749-21-025179.htm
MICROSOFT CORP,789019,8K,2021,Q1,2021-03-01,789019_8K_2021_0001193125-21-065751.htm
MGT CAPITAL INVESTMENTS INC,1001601,10Q,2020,Q4,2020-01-01,1001601_10Q_2021_0001493152-21-020358.htm
DOMO INC,1505952,10K,2019,Q4,2019-01-01,1505952_10K_2021_0001505952-21-000007.htm
ZSCALER INC,1713683,8K,2021,Q1,2021-02-01,1713683_8K_2021_0001713683-21-000031.htm
COUPA SOFTWARE INC,1385867,8K,2021,Q4,2021-12-01,1385867_8K_2021_0001385867-21-000028.htm
AUTOMATIC DATA PROCESSING,8670,8K,2021,Q1,2021-04-01,8670_8K_2021_0000008670-21-000010.htm
BILL.COM HOLDINGS INC,1786352,8K,2021,Q3,2021-09-01,1786352_8K_2021_0001193125-21-268864.htm
MIX TELEMATICS LTD,1576914,8K,2021,Q2,2021-05-01,1576914_8K_2021_0001628280-21-011153.htm
FORTINET INC,1262039,8K,2021,Q2,2021-07-01,1262039_8K_2021_0001262039-21-000019.htm
DYNATRACE INC,1773383,8K,2021,Q2,2021-07-01,1773383_8K_2021_0001773383-21-000081.htm
DOCUSIGN INC,1261333,8K,2020,Q4,2020-01-01,1261333_8K_2021_0001628280-21-000358.htm
GTY TECHNOLOGY HOLDINGS,1682325,10K,2019,Q4,2019-01-01,1682325_10K_2020_0001558370-21-001283.htm
CERIDIAN HCM HOLDING,1725057,10Q,2020,Q4,2020-01-01,1725057_10Q_2021_0001564590-21-024095.htm
BENEFITFOCUS INC,1576169,8K,2021,Q2,2021-07-01,1576169_8K_2021_0001193125-21-231506.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q2,2021-06-01,1167419_8K_2021_0001079973-21-000537.htm
PTC INC,857005,8K,2021,Q4,2021-11-01,857005_8K_2021_0001564590-21-053935.htm
TWILIO INC,1447669,8K,2021,Q2,2021-06-01,1447669_8K_2021_0001447669-21-000167.htm
EBIX INC,814549,10Q,2020,Q4,2020-01-01,814549_10Q_2021_0001628280-21-010471.htm
SYNOPSYS INC,883241,8K,2021,Q3,2021-08-01,883241_8K_2021_0001193125-21-250451.htm
ZUORA INC,1423774,10Q,2020,Q4,2020-01-01,1423774_10Q_2021_0001423774-21-000134.htm
ROCKETFUEL BLOCKCHAIN INC,823546,8K,2021,Q2,2021-07-01,823546_8K_2021_0001493152-21-017815.htm
INUVO INC,829323,8K,2020,Q4,2020-01-01,829323_8K_2021_0001654954-21-000719.htm
ASPEN TECHNOLOGY INC,929940,8K,2021,Q2,2021-07-01,929940_8K_2021_0000929940-21-000046.htm
DYNATRACE INC,1773383,10Q,2020,Q4,2020-01-01,1773383_10Q_2021_0001773383-21-000114.htm
PROS HOLDINGS INC,1392972,8K,2021,Q2,2021-06-01,1392972_8K_2021_0001392972-21-000079.htm
BLACKBOXSTOCKS INC,1567900,10Q,2020,Q4,2020-01-01,1567900_10Q_2021_0001437749-21-012445.htm
BOTTOMLINE TECHNOLOGIES INC,1073349,8K,2021,Q3,2021-08-01,1073349_8K_2021_0001073349-21-000093.htm
DIGITAL TURBINE INC,317788,8K,2021,Q2,2021-05-01,317788_8K_2021_0001104659-21-060531.htm
TRADE DESK INC,1671933,8K,2020,Q4,2020-01-01,1671933_8K_2021_0001564590-21-001214.htm
RAPID7 INC,1560327,8K,2021,Q3,2021-08-01,1560327_8K_2021_0001560327-21-000129.htm
DATTO HOLDING CORP,1724570,8K,2021,Q2,2021-05-01,1724570_8K_2021_0001724570-21-000026.htm
INUVO INC,829323,8K,2021,Q4,2021-11-01,829323_8K_2021_0001654954-21-012603.htm
PALO ALTO NETWORKS INC,1327567,8K,2021,Q2,2021-05-01,1327567_8K_2021_0001193125-21-162161.htm
DATADOG INC,1561550,10Q,2020,Q4,2020-01-01,1561550_10Q_2021_0001561550-21-000007.htm
EVOLVING SYSTEMS INC,1052054,8K,2021,Q4,2021-11-01,1052054_8K_2021_0001104659-21-137029.htm
MEDALLIA INC,1540184,8K,2021,Q3,2021-10-01,1540184_8K_2021_0001140361-21-034572.htm
AUTOMATIC DATA PROCESSING,8670,8K,2020,Q4,2020-01-01,8670_8K_2021_0000008670-21-000003.htm
PROOFPOINT INC,1212458,8K,2021,Q2,2021-07-01,1212458_8K_2021_0001564590-21-039132.htm
DIGITAL TURBINE INC,317788,8K,2021,Q3,2021-08-01,317788_8K_2021_0001104659-21-110557.htm
DROPBOX INC,1467623,8K,2021,Q2,2021-07-01,1467623_8K_2021_0001467623-21-000032.htm
IDEANOMICS INC,837852,8K,2021,Q3,2021-10-01,837852_8K_2021_0001104659-21-131779.htm
FALCONSTOR SOFTWARE INC,922521,8K,2021,Q4,2021-11-01,922521_8K_2021_0001193805-21-001554.htm
ORACLE CORP,1341439,8K,2021,Q3,2021-08-01,1341439_8K_2021_0001193125-21-259458.htm
CDK GLOBAL INC,1609702,8K,2021,Q4,2021-11-01,1609702_8K_2021_0001609702-21-000075.htm
ASURE SOFTWARE INC,884144,8K,2021,Q1,2021-03-01,884144_8K_2021_0001628280-21-004552.htm
DIGITAL TURBINE INC,317788,8K,2021,Q2,2021-06-01,317788_8K_2021_0001628280-21-011430.htm
ALTAIR ENGINEERING INC,1701732,10Q,2020,Q4,2020-01-01,1701732_10Q_2021_0001564590-21-025062.htm
BSQUARE CORP,1054721,8K,2021,Q4,2021-11-01,1054721_8K_2021_0001437749-21-026153.htm
PARK CITY GROUP INC,50471,10Q,2020,Q4,2020-01-01,50471_10Q_2021_0001851734-21-000093.htm
AGILYSYS INC,78749,8K,2021,Q3,2021-10-01,78749_8K_2021_0001564590-21-051985.htm
HUBSPOT INC,1404655,8K,2020,Q4,2020-01-01,1404655_8K_2021_0001564590-21-001008.htm
INTRUSION INC,736012,8K,2021,Q4,2021-11-01,736012_8K_2021_0001683168-21-005476.htm
SEACHANGE INTERNATIONAL INC,1019671,8K,2021,Q4,2021-12-01,1019671_8K_2021_0001564590-21-060312.htm
BILL.COM HOLDINGS INC,1786352,8K,2021,Q3,2021-09-01,1786352_8K_2021_0001193125-21-263249.htm
J2 GLOBAL INC,1084048,8K,2021,Q3,2021-09-01,1084048_8K_2021_0001193125-21-278816.htm
INTELLIGENT SYSTEM CORP,320340,8K,2021,Q2,2021-05-01,320340_8K_2021_0001171843-21-003085.htm
ASPEN TECHNOLOGY INC,929940,8K,2021,Q1,2021-04-01,929940_8K_2021_0000929940-21-000029.htm
ZOOMINFO TECHNOLOGIES,1794515,8K,2021,Q3,2021-08-01,1794515_8K_2021_0001794515-21-000214.htm
MIX TELEMATICS LTD,1576914,10Q,2019,Q4,2019-01-01,1576914_10Q_2020_0001628280-21-001460.htm
ZOOM TELEPHONICS INC,1467761,10K,2020,Q4,2020-01-01,1467761_10K_2020_0001654954-21-004133.htm
AVALARA INC,1348036,8K,2021,Q1,2021-04-01,1348036_8K_2021_0001193125-21-107661.htm
ALTAIR ENGINEERING INC,1701732,10Q,2020,Q4,2020-01-01,1701732_10Q_2021_0001564590-21-054530.htm
SPROUT SOCIAL INC,1517375,10K,2020,Q4,2020-01-01,1517375_10K_2020_0001517375-21-000009.htm
ORACLE CORP,1341439,8K,2021,Q3,2021-09-01,1341439_8K_2021_0001564590-21-047736.htm
PROOFPOINT INC,1212458,10K,2019,Q4,2019-01-01,1212458_10K_2020_0001564590-21-006943.htm
CIPHERLOC CORP,1022505,8K,2021,Q3,2021-09-01,1022505_8K_2021_0001493152-21-022621.htm
FAIR ISAAC CORP,814547,8K,2021,Q3,2021-08-01,814547_8K_2021_0001564590-21-040253.htm
SOLARWINDS CORP,1739942,8K,2021,Q2,2021-07-01,1739942_8K_2021_0001739942-21-000121.htm
MANHATTAN ASSOCIATES INC,1056696,8K,2021,Q2,2021-05-01,1056696_8K_2021_0001564590-21-027519.htm
ZOOM TELEPHONICS INC,1467761,8K,2021,Q1,2021-04-01,1467761_8K_2021_0001140361-21-012955.htm
AMERICAN SOFTWARE  -CL A,713425,10Q,2020,Q4,2020-01-01,713425_10Q_2021_0001628280-21-004014.htm
UPLAND SOFTWARE INC,1505155,8K,2021,Q2,2021-06-01,1505155_8K_2021_0001505155-21-000038.htm
DOCUSIGN INC,1261333,8K,2021,Q4,2021-12-01,1261333_8K_2021_0001261333-21-000209.htm
FAIR ISAAC CORP,814547,10Q,2020,Q4,2020-01-01,814547_10Q_2021_0000814547-21-000012.htm
SONIC FOUNDRY INC,1029744,8K,2021,Q3,2021-08-01,1029744_8K_2021_0001437749-21-020704.htm
BENTLEY SYSTEMS INC,1031308,10Q,2020,Q4,2020-01-01,1031308_10Q_2021_0001628280-21-016397.htm
MGT CAPITAL INVESTMENTS INC,1001601,10Q,2020,Q4,2020-01-01,1001601_10Q_2021_0001493152-21-028042.htm
DUCK CREEK TECHNOL INC,1160951,8K,2021,Q1,2021-04-01,1160951_8K_2021_0001193125-21-106364.htm
SLACK TECHNOLOGIES INC,1764925,8K,2021,Q2,2021-07-01,1764925_8K_2021_0001193125-21-220234.htm
ASPEN TECHNOLOGY INC,929940,10Q,2020,Q4,2020-01-01,929940_10Q_2021_0000929940-21-000040.htm
BLACKBAUD INC,1280058,8K,2021,Q3,2021-10-01,1280058_8K_2021_0001280058-21-000043.htm
IMAGEWARE SYSTEMS INC,941685,8K,2021,Q2,2021-06-01,941685_8K_2021_0001654954-21-006614.htm
PALANTIR TECHNOLOG INC,1321655,8K,2021,Q3,2021-08-01,1321655_8K_2021_0000950123-21-010428.htm
MONGODB INC,1441816,8K,2021,Q4,2021-12-01,1441816_8K_2021_0001441816-21-000239.htm
NORTONLIFELOCK INC,849399,8K,2021,Q2,2021-06-01,849399_8K_2021_0001104659-21-077699.htm
FIREEYE INC,1370880,8K,2021,Q3,2021-10-01,1370880_8K_2021_0001370880-21-000039.htm
VERINT SYSTEMS INC,1166388,8K,2020,Q4,2020-01-01,1166388_8K_2021_0001166388-21-000004.htm
ZOOM VIDEO COMUNICATIONS INC,1585521,8K,2021,Q3,2021-10-01,1585521_8K_2021_0001193125-21-288643.htm
SERVICENOW INC,1373715,8K,2021,Q2,2021-07-01,1373715_8K_2021_0001373715-21-000200.htm
TENABLE HOLDINGS INC,1660280,8K,2021,Q2,2021-05-01,1660280_8K_2021_0001660280-21-000098.htm
CDK GLOBAL INC,1609702,8K,2021,Q1,2021-03-01,1609702_8K_2021_0001609702-21-000024.htm
J2 GLOBAL INC,1084048,8K,2021,Q3,2021-08-01,1084048_8K_2021_0001084048-21-000050.htm
JAMF HOLDING CORP,1721947,10K,2019,Q4,2019-01-01,1721947_10K_2020_0001558370-21-002391.htm
UPLAND SOFTWARE INC,1505155,8K,2020,Q4,2020-01-01,1505155_8K_2021_0001505155-21-000005.htm
MIX TELEMATICS LTD,1576914,8K,2020,Q4,2020-01-01,1576914_8K_2021_0001628280-21-000929.htm
GIVEMEPOWER CORP,1064722,10K,2020,Q4,2020-01-01,1064722_10K_2020_0001760319-21-000039.htm
LIVEPERSON INC,1102993,8K,2021,Q1,2021-02-01,1102993_8K_2021_0001102993-21-000021.htm
FASTLY INC,1517413,8K,2021,Q2,2021-06-01,1517413_8K_2021_0001517413-21-000116.htm
DATTO HOLDING CORP,1724570,10Q,2020,Q4,2020-01-01,1724570_10Q_2021_0001724570-21-000049.htm
BSQUARE CORP,1054721,8K,2021,Q1,2021-04-01,1054721_8K_2021_0001437749-21-008130.htm
ALARM.COM HOLDINGS INC,1459200,10Q,2020,Q4,2020-01-01,1459200_10Q_2021_0001459200-21-000028.htm
CLOUDFLARE INC,1477333,10Q,2020,Q4,2020-01-01,1477333_10Q_2021_0001477333-21-000036.htm
ZENDESK INC,1463172,10K,2019,Q4,2019-01-01,1463172_10K_2020_0001463172-21-000054.htm
ZIX CORP,855612,10Q,2020,Q4,2020-01-01,855612_10Q_2021_0001564590-21-041561.htm
SMITH MICRO SOFTWARE INC,948708,8K,2021,Q1,2021-03-01,948708_8K_2021_0001193125-21-073255.htm
DROPBOX INC,1467623,10Q,2020,Q4,2020-01-01,1467623_10Q_2021_0001467623-21-000047.htm
SERVICENOW INC,1373715,8K,2020,Q4,2020-01-01,1373715_8K_2021_0001373715-21-000008.htm
INTELLIGENT SYSTEM CORP,320340,8K,2021,Q1,2021-04-01,320340_8K_2021_0001437749-21-008067.htm
VERB TECHNOLOGY CO INC,1566610,8K,2021,Q4,2021-11-01,1566610_8K_2021_0001493152-21-028962.htm
IDEANOMICS INC,837852,8K,2021,Q3,2021-09-01,837852_8K_2021_0001104659-21-119816.htm
INUVO INC,829323,8K,2020,Q4,2020-01-01,829323_8K_2021_0001654954-21-000415.htm
SYNOPSYS INC,883241,8K,2021,Q3,2021-08-01,883241_8K_2021_0001193125-21-257617.htm
RAPID7 INC,1560327,8K,2021,Q2,2021-05-01,1560327_8K_2021_0001560327-21-000067.htm
AUTODESK INC,769397,8K,2021,Q1,2021-02-01,769397_8K_2021_0000769397-21-000009.htm
EBIX INC,814549,10Q,2020,Q4,2020-01-01,814549_10Q_2021_0001628280-21-022442.htm
SOLARWINDS CORP,1739942,8K,2021,Q1,2021-04-01,1739942_8K_2021_0001739942-21-000060.htm
ONESPAN INC,1044777,10Q,2020,Q4,2020-01-01,1044777_10Q_2021_0001558370-21-014082.htm
FAIR ISAAC CORP,814547,8K,2021,Q2,2021-05-01,814547_8K_2021_0001564590-21-024120.htm
PAYCHEX INC,723531,8K,2021,Q3,2021-09-01,723531_8K_2021_0000723531-21-000038.htm
BLACKLINE INC,1666134,8K,2021,Q1,2021-03-01,1666134_8K_2021_0001193125-21-081421.htm
ONESPAN INC,1044777,10K,2019,Q4,2019-01-01,1044777_10K_2020_0001558370-21-001842.htm
BENTLEY SYSTEMS INC,1031308,8K,2021,Q4,2021-11-01,1031308_8K_2021_0001628280-21-022394.htm
FAIR ISAAC CORP,814547,8K,2021,Q4,2021-12-01,814547_8K_2021_0001193125-21-356940.htm
BOX INC,1372612,8K,2021,Q2,2021-07-01,1372612_8K_2021_0001193125-21-225793.htm
FIVE9 INC,1288847,8K,2021,Q2,2021-06-01,1288847_8K_2021_0001288847-21-000098.htm
TAUTACHROME INC,1389067,10Q,2020,Q4,2020-01-01,1389067_10Q_2021_0001477932-21-008474.htm
SHARPSPRING INC,1506439,8K,2021,Q1,2021-03-01,1506439_8K_2021_0001654954-21-002886.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q4,2021-12-01,1167419_8K_2021_0001553350-21-001128.htm
UPLAND SOFTWARE INC,1505155,8K,2021,Q3,2021-08-01,1505155_8K_2021_0001505155-21-000045.htm
INTUIT INC,896878,8K,2021,Q2,2021-05-01,896878_8K_2021_0000896878-21-000108.htm
MICROSTRATEGY INC,1050446,8K,2021,Q2,2021-06-01,1050446_8K_2021_0001193125-21-189600.htm
Q2 HOLDINGS INC,1410384,8K,2021,Q2,2021-06-01,1410384_8K_2021_0001410384-21-000096.htm
PARETEUM CORP,1084384,10Q,2018,Q4,2018-01-01,1084384_10Q_2019_0001628280-21-013673.htm
ZOOM VIDEO COMUNICATIONS INC,1585521,8K,2021,Q2,2021-06-01,1585521_8K_2021_0001585521-21-000123.htm
BIO-KEY INTERNATIONAL INC,1019034,8K,2021,Q1,2021-03-01,1019034_8K_2021_0001437749-21-007099.htm
DOMO INC,1505952,10Q,2020,Q4,2020-01-01,1505952_10Q_2021_0001505952-21-000017.htm
MEDALLIA INC,1540184,8K,2021,Q2,2021-07-01,1540184_8K_2021_0001193125-21-224523.htm
SOLARWINDS CORP,1739942,8K,2021,Q2,2021-07-01,1739942_8K_2021_0001739942-21-000115.htm
APPIAN CORP,1441683,8K,2021,Q4,2021-11-01,1441683_8K_2021_0001441683-21-000084.htm
SEACHANGE INTERNATIONAL INC,1019671,10Q,2020,Q4,2020-01-01,1019671_10Q_2021_0001564590-21-032653.htm
MEDALLIA INC,1540184,8K,2021,Q4,2021-11-01,1540184_8K_2021_0001140361-21-036206.htm
QUMU CORP,892482,10Q,2020,Q4,2020-01-01,892482_10Q_2021_0000892482-21-000050.htm
PROOFPOINT INC,1212458,8K,2021,Q3,2021-08-01,1212458_8K_2021_0001193125-21-261338.htm
VERINT SYSTEMS INC,1166388,8K,2021,Q1,2021-04-01,1166388_8K_2021_0001193125-21-107771.htm
MIX TELEMATICS LTD,1576914,8K,2021,Q3,2021-09-01,1576914_8K_2021_0001628280-21-018355.htm
VERINT SYSTEMS INC,1166388,8K,2021,Q4,2021-12-01,1166388_8K_2021_0001166388-21-000134.htm
MODEL N INC,1118417,8K,2021,Q3,2021-08-01,1118417_8K_2021_0001118417-21-000120.htm
SYNCHRONOSS TECHNOLOGIES,1131554,8K,2021,Q4,2021-11-01,1131554_8K_2021_0001131554-21-000086.htm
FORTINET INC,1262039,10Q,2020,Q4,2020-01-01,1262039_10Q_2021_0001262039-21-000022.htm
PAGERDUTY INC,1568100,10Q,2020,Q4,2020-01-01,1568100_10Q_2021_0001568100-21-000029.htm
AVAYA HLDGS CORP,1418100,10K,2020,Q4,2020-01-01,1418100_10K_2021_0001418100-21-000095.htm
SYNCHRONOSS TECHNOLOGIES,1131554,8K,2021,Q1,2021-03-01,1131554_8K_2021_0001131554-21-000009.htm
ASPEN TECHNOLOGY INC,929940,8K,2021,Q3,2021-08-01,929940_8K_2021_0000929940-21-000053.htm
CITRIX SYSTEMS INC,877890,8K,2021,Q1,2021-02-01,877890_8K_2021_0001193125-21-047707.htm
AMERICAN SOFTWARE  -CL A,713425,8K,2021,Q3,2021-08-01,713425_8K_2021_0001628280-21-017354.htm
ANAPLAN INC,1540755,8K,2021,Q4,2021-12-01,1540755_8K_2021_0001540755-21-000071.htm
APPIAN CORP,1441683,10Q,2020,Q4,2020-01-01,1441683_10Q_2021_0001441683-21-000063.htm
PAYCHEX INC,723531,8K,2021,Q4,2021-11-01,723531_8K_2021_0000723531-21-000056.htm
PAYLOCITY HOLDING CORP,1591698,8K,2021,Q2,2021-05-01,1591698_8K_2021_0001104659-21-062386.htm
PING IDENTITY HOLDING CORP,1679826,10Q,2020,Q4,2020-01-01,1679826_10Q_2021_0001558370-21-005961.htm
CLOUDERA INC,1535379,8K,2021,Q2,2021-06-01,1535379_8K_2021_0001193125-21-177699.htm
SHARPSPRING INC,1506439,8K,2021,Q3,2021-08-01,1506439_8K_2021_0001654954-21-008854.htm
XPERI HOLDING CORP,1803696,8K,2021,Q2,2021-06-01,1803696_8K_2021_0001564590-21-032453.htm
INTUIT INC,896878,10K,2020,Q4,2020-01-01,896878_10K_2021_0000896878-21-000233.htm
IDEANOMICS INC,837852,8K,2021,Q3,2021-08-01,837852_8K_2021_0001104659-21-106740.htm
SUMO LOGIC INC,1643269,8K,2021,Q4,2021-11-01,1643269_8K_2021_0001643269-21-000037.htm
TAUTACHROME INC,1389067,8K,2021,Q3,2021-09-01,1389067_8K_2021_0001477932-21-006495.htm
CITRIX SYSTEMS INC,877890,8K,2021,Q1,2021-04-01,877890_8K_2021_0001193125-21-138291.htm
SUMO LOGIC INC,1643269,10K,2020,Q4,2020-01-01,1643269_10K_2021_0001643269-21-000006.htm
BIO-KEY INTERNATIONAL INC,1019034,8K,2021,Q4,2021-11-01,1019034_8K_2021_0001437749-21-026814.htm
MONGODB INC,1441816,8K,2021,Q3,2021-09-01,1441816_8K_2021_0001441816-21-000185.htm
QUMU CORP,892482,10Q,2020,Q4,2020-01-01,892482_10Q_2021_0000892482-21-000054.htm
RAPID7 INC,1560327,8K,2021,Q1,2021-03-01,1560327_8K_2021_0001560327-21-000051.htm
CDK GLOBAL INC,1609702,10K,2020,Q4,2020-01-01,1609702_10K_2021_0001609702-21-000058.htm
INUVO INC,829323,8K,2021,Q2,2021-05-01,829323_8K_2021_0001654954-21-006382.htm
INTUIT INC,896878,8K,2021,Q4,2021-11-01,896878_8K_2021_0001193125-21-314683.htm
AVALARA INC,1348036,10Q,2020,Q4,2020-01-01,1348036_10Q_2021_0001564590-21-025131.htm
BOTTOMLINE TECHNOLOGIES INC,1073349,8K,2021,Q3,2021-10-01,1073349_8K_2021_0001193125-21-303084.htm
LIVEPERSON INC,1102993,8K,2021,Q4,2021-11-01,1102993_8K_2021_0001102993-21-000131.htm
IDEANOMICS INC,837852,10Q,2020,Q4,2020-01-01,837852_10Q_2021_0001628280-21-017110.htm
DATTO HOLDING CORP,1724570,8K,2021,Q3,2021-08-01,1724570_8K_2021_0001724570-21-000047.htm
IDEANOMICS INC,837852,10Q,2020,Q4,2020-01-01,837852_10Q_2021_0001628280-21-023993.htm
PHUNWARE INC,1665300,8K,2021,Q3,2021-10-01,1665300_8K_2021_0001628280-21-020241.htm
